,,Remainder,,0,0,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/document.cc,3716,CustomCountHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/document.cc,3736,CustomCountHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/document.cc,3759,CustomCountHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/document.cc,3779,CustomCountHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/document.cc,5139,EventFactorySet,Link,No,Yes,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/document.cc,6036,Vector<InterventionPolicyGetters>,Link,No,No,Yes,No,Could be made constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/document.cc,8155,blink::Persistent<WeakDocumentSet>,Link,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/element.cc,1681,AttrNameToTrustedType,Link,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/events/event_dispatcher.cc,85,Persistent<HeapHashSet<Member<Node>>>,Link,No,Yes,No,No,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/events/event_target.cc,931,EnumerationHistogram,Link,No,No,No,Yes,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/mutation_observer.cc,225,Persistent<MutationObserverSet>,Link,No,Yes,No,No,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/mutation_observer.cc,236,Persistent<SlotChangeList>,Link,No,Yes,No,No,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/mutation_observer.cc,242,Persistent<MutationObserverSet>,Link,No,Yes,No,No,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/mutation_record.cc,173,AtomicString,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/mutation_record.cc,178,AtomicString,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/mutation_record.cc,183,AtomicString,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/node.cc,140,Persistent<ScrollCustomizationCallbacks>,Link,No,Yes,,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/node.cc,186,NodeRenderingData,Link,No,No,Yes,,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/node.cc,195,WeakNodeSet,Link,No,Yes,,N/A,only required with DUMP_NODE_STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/node.cc,2414,Persistent<EventTargetDataMap>,Link,No,Yes,,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/presentation_attribute_style.cc,79,Persistent<PresentationAttributeCache>,Link,No,Yes,,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/pseudo_element.cc,53,QualifiedName,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/pseudo_element.cc,58,QualifiedName,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/pseudo_element.cc,63,QualifiedName,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/pseudo_element.cc,68,QualifiedName,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/pseudo_element.cc,75,QualifiedName,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/pseudo_element.cc,81,const String,Link,Yes,No,Yes,No,Not thread-safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/pseudo_element.cc,82,const String,Link,Yes,No,Yes,No,Not thread-safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/shadow_root_v0.cc,126,Persistent<HeapVector<Member<V0InsertionPoint>>>,Link,No,Yes,,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/tree_ordered_map.cc,153,Persistent<HeapVector<Member<Element>>>,Link,No,Yes,,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/tree_scope.cc,131,Persistent<HeapVector<Member<Element>>>,Link,No,Yes,,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/user_gesture_indicator.cc,87,EnumerationHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/dom/weak_identifier_map.h,110,\Persistent<RefType>,Link,No,Yes,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/commands/document_exec_command.cc,96,SparseHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/commands/editing_commands_utilities.cc,504,String,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/commands/editor_command.cc,1928,SparseHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/commands/format_block_command.cc,177,HashSet<QualifiedName>,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/commands/remove_format_command.cc,48,HashSet<QualifiedName>,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/commands/replace_selection_command.cc,117,String,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/commands/replace_selection_command.cc,662,HashSet<AtomicString>,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/editing/editing_style.cc,101,Vector<const CSSProperty*>,Link,No,No,Yes,No,Initialized once; could be constexpr (not current thread-safe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
