3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,52,0,0,0,,
third_party/blink/renderer/core/events/ui_event_with_key_state.h,91,static bool new_tab_modifier_set_from_isolated_world_;,Link,Member,Yes,No,No,Whether Cmd/Ctrl is pressed to open link in new tab. NOTE(fdoray): More tricky.,
third_party/blink/renderer/core/exported/web_custom_element.cc,44,int g_embedder_names_allowed_count = 0;,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/exported/web_dev_tools_agent_impl.cc,216,static ClientMessageLoopAdapter* instance_;,Link,Member,Yes,No,No,Knows about frames,
third_party/blink/renderer/core/exported/web_document.cc,69,static unsigned counter = 0;,Link,Local,No,No,No,Counter to generate ids. Could be ThreadSpecific or AtomicSequenceNumber if we have multiple main threads,
third_party/blink/renderer/core/exported/web_local_frame_client.cc,13,static service_manager::InterfaceProvider* interface_provider = []() {,Link,Local,No,Yes,No,Mojo,
third_party/blink/renderer/core/exported/web_plugin_container_test.cc,1424,static WebRect topmost_rect(10,Link,Local,No,Yes,Yes,I made it constexpr.,
third_party/blink/renderer/core/exported/web_view_impl.cc,232,static bool g_should_use_external_popup_menus = false;,Link,Global,No,Yes,Yes,Global state set once in RenderThreadImpl::Init(),
third_party/blink/renderer/core/exported/web_view_impl.cc,2617,static bool viewport_disables_gpu_raster = base::FeatureList::IsEnabled(,Link,Local,No,Yes,Yes,"Caches base::Feature, Should be const",
third_party/blink/renderer/core/feature_policy/feature_policy_attr_fuzzer.cc,17,static blink::BlinkFuzzerTestSupport test_support =,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/feature_policy/feature_policy_fuzzer.cc,17,static blink::BlinkFuzzerTestSupport test_support =,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/feature_policy/feature_policy_value_fuzzer.cc,24,static blink::BlinkFuzzerTestSupport test_support =,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/frame/csp/content_security_policy_fuzzer.cc,17,DummyPageHolder* g_page_holder = nullptr;,Link,Global,No,No,No,Fuzzer for testing,
third_party/blink/renderer/core/frame/csp/content_security_policy_fuzzer.cc,20,static BlinkFuzzerTestSupport test_support = BlinkFuzzerTestSupport();,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/frame/frame_test_helpers.h,419,static int loads_in_progress_;,Link,Member,No,No,No,Test-only,
third_party/blink/renderer/core/frame/local_frame_view.cc,223,static bool g_initial_track_all_paint_invalidations = false;,Link,Global,No,No,Yes,Only mutated in tests,
third_party/blink/renderer/core/frame/web_frame_widget_base.h,195,static bool ignore_input_events_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/frame/web_local_frame_impl.cc,270,static int g_frame_count = 0;,Link,Global,Yes,No,No,Number of frames. We probably want to count frames per isolate. NOTE(fdoray): More tricky.,
third_party/blink/renderer/core/fullscreen/fullscreen.cc,327,static bool running_request_fullscreen_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/fullscreen/scoped_allow_fullscreen.h,26,static base::Optional<Reason> reason_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/html/canvas/html_canvas_element.h,402,static intptr_t global_gpu_memory_usage_;,Link,Member,Yes,No,No,Stats for html canvas. Should be per isolate.,
third_party/blink/renderer/core/html/canvas/html_canvas_element.h,403,static unsigned global_accelerated_context_count_;,Link,Member,Yes,No,No,Stats for html canvas. Should be per isolate.,
third_party/blink/renderer/core/html/custom/ce_reactions_scope.h,39,static CEReactionsScope* top_of_stack_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/html/custom/v0_custom_element_processing_stack.h,85,static wtf_size_t element_queue_start_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/html/custom/v0_custom_element_processing_stack.h,89,static wtf_size_t element_queue_end_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/html/forms/email_input_type.cc,85,static icu::IDNA* idna =,Link,Local,No,Yes,Yes,Object on which only const methods are invoked,
third_party/blink/renderer/core/html/forms/html_form_control_element.cc,52,static unsigned next_free_unique_id = 0;,Link,Local,Yes,No,No,Counter to generate ids.,
third_party/blink/renderer/core/html/forms/html_form_element.cc,83,static unsigned next_nique_renderer_form_id = 0;,Link,Local,Yes,No,No,Counter to generate ids.,
